username	typeId	typeName	targetId	targetName
choang	3ad92ce9-f181-326d-8bbc-898cf070e5c1	proj mgr role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
choang	10c460c8-48f1-3e8a-b231-592b88332dee	workset manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
choang	bbb2b51c-01b3-36a7-9790-87434d26753e	partitioning manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
kcampbell	3ad92ce9-f181-326d-8bbc-898cf070e5c1	proj mgr role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
kcampbell	10c460c8-48f1-3e8a-b231-592b88332dee	workset manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
kcampbell	bbb2b51c-01b3-36a7-9790-87434d26753e	partitioning manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
lstevenson	3ad92ce9-f181-326d-8bbc-898cf070e5c1	proj mgr role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
lstevenson	10c460c8-48f1-3e8a-b231-592b88332dee	workset manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
lstevenson	bbb2b51c-01b3-36a7-9790-87434d26753e	partitioning manager role	781630aa-f89e-35e7-8a01-0892afb9cf6d	Terminology Project Auxiliary concept 
choang	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
choang	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
choang	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
kcampbell	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
kcampbell	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
kcampbell	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
lstevenson	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
lstevenson	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
lstevenson	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
mloucks	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
mloucks	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
mloucks	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
skeni	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
skeni	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
skeni	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
smaulden	3585308c-3897-5709-91d9-1356617091ea	JIF editor	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
smaulden	caeb77e2-abd4-5311-8ee0-c743694bd285	JIF reviewer	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
smaulden	7a8c8a56-6815-5abf-8d72-47b5122399f6	JIF approver	ee9ac5d2-a07c-3981-a57a-f7f26baf38d8	sct root 
